,address,districtCode,districtName,id,name,nearbyStations,stationType,zipCode,lat,lon
228,077 - Choapan - Tamaulipas,HIP,Hipódromo,77,77 CHOAPAN-TAMAULIPAS,"[78, 82]",BIKE,06100,19.406765,-99.178321
229,078 - Benjamín Hill - Tamaulipas,HIP,Hipódromo,78,78 BENJAMIN HILL-TAMAULIPAS,"[77, 82]","BIKE,TPV",06170,19.407503,-99.177382
230,079 - Saltillo - Alfonso Reyes,HIP,Hipódromo,79,79 SALTILLO-ALFONSO REYES,"[75, 80, 83]",BIKE,06100,19.407534,-99.174427
231,080 - Nuevo León - Aguascalientes,HIP,Hipódromo,80,80 NUEVO LEON-AGUASCALIENTES,"[79, 83, 84]",BIKE,06100,19.407307,-99.172118
232,081 - Aguascalientes - Insurgentes,HIP,Hipódromo,81,81 AGUASCALIENTES-INSURGENTES,"[76, 84]",BIKE,06100,19.408006,-99.168475
233,061 - Avenida México - Sonora,HIP,Hipódromo,61,61 AVENIDA MEXICO-SONORA,"[59, 63, 64, 70]","BIKE,TPV",06100,19.413742,-99.169525
234,069 - Michoacán - Amsterdam,HIP,Hipódromo,69,69 MICHOACAN-AMSTERDAM,"[70, 76, 77]",BIKE,06100,19.410733,-99.168111
235,059 - Popocatépetl - Amsterdam,HIP,Hipódromo,59,59 POPOCATEPETL-AMSTERDAM,"[55, 56, 61, 64]",BIKE,06100,19.415121,-99.166661
236,083 - Nuevo León - Alfonso Reyes,HIP,Hipódromo,83,83 NUEVO LEON-ALFONSO REYES,"[79, 80]","BIKE,TPV",06100,19.406296,-99.172117
237,084 - Chilpancingo - Tlaxcala,HIP,Hipódromo,84,84 CHILPANCINGO-TLAXCALA,"[81, 83]",BIKE,06100,19.40702,-99.169587
238,071 - Amsterdam - Michoacan,HIP,Hipódromo,71,71 AMSTERDAM-MICHOACAN,"[70, 74, 76]",BIKE,06100,19.411423,-99.171351
239,064 - Sonora - Amsterdam,HIP,Hipódromo,64,64 SONORA-AMSTERDAM,"[59, 61, 69]",BIKE,06100,19.412877,-99.166986
240,179 - Nuevo León-Quintana Roo,HIP,Hipódromo,179,179 NUEVO LEÓN-QUINTANA ROO,"[154, 180, 182]",BIKE,,19.404452,-99.171438
241,180 - Quintana Roo-Villa Hermosa,HIP,Hipódromo,180,180 QUINTANA ROO-VILLA HERMOSA,"[154, 179, 182]",BIKE,,19.404554,-99.169953
242,182 - PROGRESO-ASTRONOMOS,HIP,Hipódromo,182,182 PROGRESO-ASTRONOMOS,"[175, 179]","BIKE,TPV",,19.402089,-99.17139
243,417 - Goya-Augusto Rodín,INM,Insurgentes Mixcoac,417,417 GOYA-AUGUSTO RODÍN,"[384, 385, 386]","BIKE,TPV",3920,19.373262,-99.184333
244,418 - Galicia-Actipan,INM,Insurgentes Mixcoac,418,418 GALICIA-ACTIPAN,"[388, 417, 419]",BIKE,3920,19.371152,-99.183034
245,419 - Actipan-Cadiz,INM,Insurgentes Mixcoac,419,419 ACTIPAN-CADIZ,"[418, 420, 421]",BIKE,3920,19.370606,-99.181502
246,384 - Empresa-Poussin,INM,Insurgentes Mixcoac,384,384 EMPRESA-POUSSIN,"[385, 386, 417]",BIKE,3920,19.375873,-99.185583
247,385 - Poussin-Empresa,INM,Insurgentes Mixcoac,385,385 POUSSIN-EMPRESA,"[384, 386, 417]","BIKE,TPV",3920,19.375651,-99.18558
248,386 - Poussin-Donatello,INM,Insurgentes Mixcoac,386,386 POUSSIN-DONATELLO,"[384, 385, 417]",BIKE,3920,19.37484,-99.185846
249,387 - Cadiz-Empresa,INM,Insurgentes Mixcoac,387,387 CADIZ-EMPRESA,"[381, 382, 383]",BIKE,3920,19.37455556,-99.1805055556
250,388 - Valencia-Malaga,INM,Insurgentes Mixcoac,388,388 VALENCIA-MALAGA,"[387, 389, 390]",BIKE,3920,19.373038,-99.181355
251,389 - Santander-Felix Cuevas,INM,Insurgentes Mixcoac,389,389 SANTANDER-FELIX CUEVAS,"[388, 390, 391]",BIKE,3920,19.373528,-99.179356
252,355 - California-Sacramento,ISB,Insurgentes San Borja,355,355 CALIFORNIA-SACRAMENTO,"[345, 361]",BIKE,3100,19.38205,-99.173291
253,345 - Miraflores-Patricio Sanz,ISB,Insurgentes San Borja,345,345 MIRAFLORES-PATRICIO SANZ,"[334, 335, 346]",BIKE,3100,19.384498,-99.172223
254,346 - San Francisco-Santa Margarita,ISB,Insurgentes San Borja,346,346 SAN FRANCISCO-SANTA MARGARITA,"[334, 335, 345]",BIKE,3100,19.385019,-99.174077
255,113 - General Prim-Versalles,JUA,Juárez,113,113 GENERAL PRIM-VERSALLES,"[114, 116, 119]",BIKE,06500,19.430369,-99.154419
256,114 - Lucerna-Abraham González,JUA,Juárez,114,114 LUCERNA-ABRAHAM GONZALEZ ,"[113, 116, 119]",BIKE,06500,19.428989,-99.153618
257,115 - Roma-Dinamarca,JUA,Juárez,115,115 ROMA-DINAMARCA ,"[116, 117, 118]",BIKE,06500,19.429947,-99.159698
258,116 - Londres-Roma,JUA,Juárez,116,116 LONDRES-ROMA,"[115, 118, 199]",BIKE,06500,19.428985,-99.15664
259,117 - Londres-Napoles,JUA,Juárez,117,117 LONDRES-NAPOLES ,"[116, 118, 120]",BIKE,06500,19.427132,-99.160369
260,118 - Liverpool-Dinamarca,JUA,Juárez,118,118 LIVERPOOL-DINAMARCA,"[116, 117, 120]",BIKE,06500,19.427114,-99.158251
261,119 - Turín-Abraham González,JUA,Juárez,119,119 TURÍN-ABRAHAM GONZÁLEZ,"[114, 118, 125]",BIKE,,19.42679,-99.15554
262,120 - Marsella-Nápoles,JUA,Juárez,120,120 MARSELLA-NAPOLES,"[117, 118, 121]",BIKE,06500,19.425437,-99.159458
263,121 - Niza-Chapultepec,JUA,Juárez,121,121 NIZA-CHAPULTEPEC,"[117, 120, 128]",BIKE,06500,19.424137,-99.161317
264,030 - Hamburgo - Genova,JUA,Juárez,30,30 HAMBURGO-GENOVA,"[26, 34, 35]","BIKE,TPV",06500,19.426442,-99.164323
265,031 - Hamburgo - Insurgentes,JUA,Juárez,31,31 HAMBURGO-INSURGENTES,"[19, 27, 30]",BIKE,06500,19.427838,-99.161193
266,032 - Londres - Sevilla,JUA,Juárez,32,32 LONDRES-SEVILLA,"[22, 38, 39]",BIKE,06500,19.422705,-99.169922
267,033 - Londres - Florencia,JUA,Juárez,33,33 LONDRES-FLORENCIA,"[29, 39, 40]",BIKE,06500,19.424234,-99.166431
268,034 - Liverpool - Genova,JUA,Juárez,34,34 LIVERPOOL-GENOVA,"[30, 33, 35]",BIKE,05600,19.424539,-99.163503
269,035 - Liverpool - Genova,JUA,Juárez,35,35 LIVERPOOL-GENOVA,"[30, 34, 40]","BIKE,TPV",06500,19.424572,-99.163123
270,022 - Reforma - Manchester,JUA,Juárez,22,22 REFORMA-MANCHESTER,"[14, 15, 23, 28]","BIKE,TPV",06500,19.424375,-99.172575
271,023 - Reforma - Praga,JUA,Juárez,23,23 REFORMA-PRAGA,"[15, 16, 22]",BIKE,06500,19.425483,-99.170414
272,024 - Reforma- Varsovia,JUA,Juárez,24,24 REFORMA-VARSOVIA,"[16, 23]","BIKE,TPV",06500,19.426102,-99.168992
273,025 - Reforma - Estocolmo,JUA,Juárez,25,25 REFORMA-ESTOCOLMO,"[17, 18]",BIKE,06500,19.426944,-99.166946
274,026 - Reforma - Versalles,JUA,Juárez,26,26 REFORMA-VERSALLES,[10],"BIKE,TPV",06500,19.432685,-99.154726
275,027 - Reforma- Havre,JUA,Juárez,27,27 REFORMA-HAVRE,"[19, 26, 31]","BIKE,TPV",06500,19.429115,-99.162614
276,028 - Toledo- Tokio,JUA,Juárez,28,28 TOLEDO-TOKIO,"[14, 21, 22]",BIKE,06500,19.423542,-99.172494
277,375 - Tenayuca-División Del Norte,LEV,Letran Valle,375,375 TENAYUCA-DIVISIÓN DEL NORTE,"[359, 374, 376]",BIKE,3650,19.376865,-99.158818
278,376 - Pitágoras-Av. Universidad,LEV,Letran Valle,376,376 PITÁGORAS-AV. UNIVERSIDAD,"[374, 375, 377]",BIKE,3650,19.375442,-99.161595
279,404 - Miguel Laurent-Avenida División Del Norte,LEV,Letran Valle,404,404 MIGUEL LAURENT-AVENIDA DIVISIÓN DEL NORTE,"[402, 403, 405]",BIKE,3650,19.373813,-99.157387
280,333 - Georgia -Carolina,NAP,Nápoles,333,333 GEORGIA -CAROLINA,"[330, 332, 349]",BIKE,3810,19.387624,-99.180978
281,289 - Chicago-Yosemite,NAP,Nápoles,289,289 CHICAGO-YOSEMITE,"[284, 290, 304]",BIKE,3810,19.397308,-99.174548
282,290 - Yosemite-Colorado,NAP,Nápoles,290,290 YOSEMITE-COLORADO,"[284, 289, 303]",BIKE,3810,19.396333,-99.172667
283,284 - Dakota-Vermont,NAP,Nápoles,284,284 DAKOTA-VERMONT,"[289, 290, 291]",BIKE,3810,19.397693,-99.172981
284,303 - Montesito-Av. Insurgentes,NAP,Nápoles,303,303 MONTESITO-AV. INSURGENTES,"[301, 302, 304]","BIKE,TPV",3810,19.394842,-99.173025
285,304 - Montesito-Dakota,NAP,Nápoles,304,304 MONTESITO-DAKOTA,"[290, 303, 305]",BIKE,3810,19.395043,-99.173821
286,314 - Nuerva York-Louisiana,NAP,Nápoles,314,314 NUERVA YORK-LOUISIANA,"[307, 313, 327]",BIKE,3810,19.391647,-99.177331
287,315 - Alabama-Montana,NAP,Nápoles,315,315 ALABAMA-MONTANA,"[301, 302, 316]",BIKE,3810,19.391472,-99.1736
288,309 - Pennsylvania-Arizona,NAP,Nápoles,309,309 PENNSYLVANIA-ARIZONA,"[308, 310, 313]",BIKE,3810,19.393162,-99.17956
289,306 - Dakota-Filadelfia,NAP,Nápoles,306,306 DAKOTA-FILADELFIA,"[305, 307, 308]","BIKE,TPV",3810,19.393699,-99.175664
290,307 - Minesota-Dakota,NAP,Nápoles,307,307 MINESOTA-DAKOTA,"[305, 306, 308]",BIKE,3810,19.393701,-99.175834
291,327 - Georgia -Pennsylvania,NAP,Nápoles,327,327 GEORGIA -PENNSYLVANIA,"[313, 314, 326]",BIKE,3810,19.38885,-99.17772
292,320 - Enrique Rébsamen-Luz Saviñon,NAR,Narvarte Poniente,320,320 ENRIQUE RÉBSAMEN-LUZ SAVIÑON,"[296, 297, 319]",BIKE,3020,19.391323,-99.15936
293,294 - Nicolás San Juan-Eje 4 Sur Xola,NAR,Narvarte Poniente,294,294 NICOLÁS SAN JUAN-EJE 4 SUR XOLA,"[282, 295, 298]",BIKE,3020,19.396513,-99.160924
294,295 - Anaxágoras-Eje 4 Sur Xola,NAR,Narvarte Poniente,295,295 ANAXÁGORAS-EJE 4 SUR XOLA,"[281, 296, 297]","BIKE,TPV",3020,19.396328,-99.156871
295,296 - Diagonal San Antonio-Enrique Rébsamen,NAR,Narvarte Poniente,296,296 DIAGONAL SAN ANTONIO-ENRIQUE RÉBSAMEN,"[295, 297, 320]",BIKE,3020,19.394283,-99.158756
296,297 - Diagonal San Antonio-Enrique Rébsamen,NAR,Narvarte Poniente,297,297 DIAGONAL SAN ANTONIO-ENRIQUE RÉBSAMEN,"[295, 296, 320]",BIKE,3020,19.394412,-99.158907
297,280 - Anaxágoras-Obrero Mundial,NAR,Narvarte Poniente,280,280 ANAXÁGORAS-OBRERO MUNDIAL,"[276, 277, 281]","BIKE,TPV",3020,19.4015,-99.156406
298,281 - Pitágoras-La Morena,NAR,Narvarte Poniente,281,281 PITÁGORAS-LA MORENA,"[276, 280, 295]",BIKE,3020,19.398532,-99.157308
299,276 - Anaxágoras-Obrero Mundial,NAR,Narvarte Poniente,276,276 ANAXÁGORAS-OBRERO MUNDIAL,"[277, 280, 281]",BIKE,3020,19.401986,-99.156366
